product,title,rating,body,date,purchase,helpful
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita Yes,5.0,Like it and have reordered,"July 9, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great price,5.0,Great product,"July 8, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Poor quality,1.0,Ok the first couple of days after that they are awe full so slow,"July 7, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Fast shipping, always in stock.",5.0,"Works well, used for drinking well water.","July 6, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Brita filters,5.0,Great product!,"July 6, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Regular good Brita quality, and fits older pitchers.",4.0,"If you have the earlier version like in my picture you may wonder if these with the thinner top fit.  They do.  The old style counter in my picture won't fit on the new version.  It was not very reliable as a counter anyway, so I always changed filters based upon months of use.I've seen people complain these will float up when you fill the pitcher.  Also that they let water go around the lip of the filter meaning it gets no filtering.  Or that you needed to add an O-ring. If so you don't have it seated fully.  The old one would just drop in and seal fine.  This one you need to wet the lip and then once you drop it in you will need to push quite hard on the top of it.  It will slip in another 1/8th of an inch and you'll feel it bottom out.  Now it won't bypass the filter or float up.  If you check the bottom of the filter once installed, and you can wiggle it about with your finger it is not seated.  Once seated it will be firm and your finger won't be able to wiggle it.","July 2, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Do not buy,1.0,There is nothing to like about these Britta filters.I should have taken the negative reviews into consideration.The filter does not do what it is supposed to do. It does not filter!  I have been using Britta for many year.Never had an issue.  Please issue a refund.  Thanks.,"July 2, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Britta water filter,5.0,"Good product, works as advertised.","July 1, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free",5.0,"Good product, excellent price.  Fits my Brita perfectly.","June 30, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",great for drinking water.,5.0,Great for drinking water and does not clog the coffee maker,"June 29, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count","Very convenient, cleans well. Would recommend",5.0,Makes my  water taste better.,"June 29, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great filters,5.0,Great filters. Last just as expected. I will buy again,"June 28, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Long lasting !!!!,5.0,Use for my Brita slim pitcher… works well,"June 28, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",I love Brita Filters,5.0,These are a lifesaver. I am always skeptical of the government water supply and prefer to pass my water through Brita and sometimes even boil it. A single filter lasts me for about 4 months!,"June 28, 2022",Verified Purchase,1
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Precio,5.0,Bueno,"June 28, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",All of them are expired….,1.0,All of them are expired..,"June 27, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Great Tasting Water,5.0,"I love how all my beverages taste better now! Next time, I will buy the blue filters for longevity.","June 26, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Best filters.,5.0,I purchase these twice a year. No problems. A good product! Easy!,"June 25, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Real Brita,5.0,Good price for the real Brita,"June 25, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Value,5.0,Good value by buying multiple filters.  Brita filters do the job.,"June 25, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",My Go To,5.0,Product has met my needs for the past three years,"June 23, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",I like this product,5.0,I like this product it does what it was advertised to do.,"June 21, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Fit my standard Brita perfectly!,5.0,Fits the standard Brita without issue. Ordered a few more boxes!,"June 20, 2022",Verified Purchase,0
"Brita Standard Water Filter, Standard Replacement Filters for Pitchers and Dispensers, BPA Free, 3 Count",Excelente,4.0,Muy buen producto,"June 20, 2022",Verified Purchase,0
